-54,-35,9
-54,-35,9
-54,-35,8
-53,-35,8
-54,-35,8
-54,-35,8
-54,-35,8
-54,-35,8
-54,-35,8
-53,-35,8
-53,-35,8
-54,-35,8
-54,-35,7
-54,-35,7
-54,-35,7
-53,-36,7
-53,-36,7
-53,-37,8
-54,-38,7
-54,-39,7
-51,-40,7
-50,-40,8
-50,-38,10
-52,-36,11
-51,-36,11
-51,-37,11
-53,-39,12
-53,-38,10
-51,-37,11
-51,-36,12
-51,-36,13
-49,-35,16
-47,-35,17
-46,-35,17
-46,-36,17
-45,-37,15
-45,-37,14
-45,-39,12
-45,-41,9
-46,-45,9
-51,-49,6
-54,-51,4
-58,-53,3
-57,-48,-3
-48,-37,-2
-45,-32,5
-49,-31,4
-55,-34,1
-52,-35,2
-49,-38,1
-50,-39,0
-52,-35,-2
-50,-32,-3
-56,-30,-5
-59,-29,-7
-62,-30,-9
-55,-32,-9
-55,-32,-8
-58,-30,-12
-59,-29,-13
-59,-27,-12
-58,-27,-10
-55,-29,-8
-54,-29,-8
-56,-28,-10
-58,-27,-12
-58,-27,-13
-57,-27,-13
-58,-26,-13
-62,-28,-14
-65,-33,-14
-49,-34,-3
-41,-35,-3
-53,-30,-10
-58,-24,-12
-63,-21,-15
-66,-26,-16
-62,-29,-15
-57,-35,-10
-54,-36,-7
-49,-31,-3
-51,-29,-5
-59,-27,-12
-60,-27,-13
-57,-29,-11
-55,-33,-10
-54,-34,-11
-52,-34,-10
-52,-33,-9
-53,-32,-9
-54,-32,-10
-56,-33,-11
-57,-33,-11
-60,-35,-10
-62,-38,-10
-60,-45,-7
-53,-48,0
-57,-45,-1
-61,-33,-13
-65,-34,-16
-71,-28,-10
-71,-26,-4
-59,-20,11
-56,-19,13
-56,-14,5
-56,-11,-3
-58,-14,0
-45,-16,24
-40,-9,36
-40,-12,40
-49,-11,36
-61,-10,27
-63,-9,26
-57,-7,27
-55,-5,29
-56,-2,28
-56,1,23
-56,2,20
-57,3,20
-58,4,21
-62,5,17
-64,5,14
-64,5,10
-65,5,8
-64,7,7
-64,7,5
-64,8,3
-63,9,1
-62,9,-1
-62,10,-4
-63,9,-7
-63,9,-12
-63,8,-13
-62,9,-16
-62,9,-21
-66,9,-22
-64,9,-10
-61,8,-8
-63,9,-15
-63,10,-18
-62,9,-19
-60,10,-18
-58,10,-17
-57,10,-17
-59,11,-19
-61,11,-20
-60,11,-20
-58,11,-22
-58,10,-22
-58,9,-24
-59,9,-24
-59,8,-26
-59,7,-26
-62,6,-28
-65,6,-29
-66,6,-29
-66,5,-28
-67,5,-29
-64,4,-27
-61,3,-25
-57,3,-23
-60,4,-22
-59,5,-18
-59,8,-15
