1564002446.000000, 1564002446.000000, 1564002446.000000
32.000000, 32.000000, 32.000000
-35,8,53
-35,7,55
-27,6,59
-30,7,56
-24,7,58
-22,6,59
-30,8,56
-32,10,54
-29,10,54
-24,9,59
-27,10,58
-23,7,57
-24,7,63
-28,9,57
-26,9,57
-26,7,62
-19,2,59
-31,5,52
-31,6,52
-20,8,62
-27,5,59
-24,6,59
-29,7,56
-29,8,56
-33,5,54
-32,7,55
-32,9,55
-33,7,55
-29,8,56
-36,9,54
-37,9,52
-37,9,53
-34,8,54
-26,7,58
-31,7,57
-33,9,54
-30,10,55
-30,11,55
-30,10,54
-35,8,56
-38,7,51
-34,2,57
-35,5,55
-30,6,56
-25,4,62
-32,6,57
-38,8,52
-31,9,55
-35,8,53
-35,9,54
-33,8,55
-33,9,53
-34,9,55
-28,4,63
-26,5,56
-35,9,53
-30,7,57
-32,8,54
-38,8,51
-37,7,54
-33,7,58
-30,3,51
-26,1,61
-35,8,53
-38,9,53
-29,6,58
-31,7,56
-36,11,51
-28,5,58
-24,4,58
-29,5,52
-34,5,57
-34,7,57
-37,8,52
-35,7,52
-37,8,52
-34,5,60
-33,8,52
-35,5,56
-33,5,54
-32,1,57
-30,1,57
-35,9,52
-32,13,52
-29,16,57
-31,16,56
-29,9,57
-32,7,57
-45,10,46
-28,5,58
-30,5,58
-21,4,58
-21,5,65
-34,9,51
-31,10,53
-33,11,54
-24,7,59
-26,8,57
-39,10,55
-35,7,55
-26,5,59
-25,8,57
-24,9,55
-21,10,53
-18,11,63
-20,9,59
-32,7,57
-40,13,56
-18,8,59
-31,-1,59
-45,3,53
-35,6,50
-30,5,57
-33,8,57
-30,10,56
-37,11,50
-40,10,51
-33,8,56
-34,9,53
-32,8,54
-33,8,57
-32,7,54
-28,8,55
-29,8,55
-35,7,53
-31,6,57
-30,8,55
-34,8,54
-34,8,56
-33,8,54
-31,8,55
-31,7,55
-34,7,55
-36,7,54
-31,7,54
-35,5,56
-30,4,56
-34,5,53
-31,5,59
-36,6,55
-29,8,55
-31,10,56
-29,12,56
-27,10,57
-32,8,54
-31,8,54
-24,8,59
-28,8,57
-29,8,57
-37,10,51
-29,8,57
-33,9,54
-40,9,51
-28,8,57
-28,7,57
-35,8,54
-32,8,56
-34,11,54
-32,8,57
-31,8,55
-28,6,56
-28,6,58
-33,10,55
-30,10,56
-38,11,52
-45,12,48
-32,7,58
-38,7,48
-30,3,55
-24,5,59
-30,5,56
-33,9,45
-33,11,54
-25,5,64
-20,7,62
-42,8,49
-47,9,48
-35,7,54
-31,6,58
-31,7,55
-33,7,53
-32,9,53
-35,7,52
-34,6,53
-29,5,58
-32,6,57
