datatype,UP1,UP2,P1,P2,REC
RMSx,3.82867629104986,3.59982536048945,4.44829685631454,4.18481031725389,3.16159312719226
RMSy,2.26679264172531,1.7285089240068,2.5626468175443,3.12709737373802,2.23647672689057
RMSz,8.86005365286126,9.05642107254223,8.48215018591427,8.41001411313368,9.10860975902574
RMSrT,9.91451772673827,9.89773955858514,9.91470500871172,9.90049053124851,9.89769018478814
RMSwx,14.2821366472628,12.0447009898841,20.6518391603686,19.9383790297573,16.3536790348479
RMSwy,16.7344845335322,16.1002000467972,21.268209762681,20.8421109505247,17.9510988814635
RMSwz,12.4162355153994,10.2404935346128,13.9834203922109,13.9814661214189,14.1702854589397
RMSwT,25.2623297458485,22.5645512101405,32.777602918463,32.05329845917,28.115507447221
P2Px,31.037,27.397,36.626,35.674,29.458
P2Py,30.422,30.386,36.482,30.241,30.771
P2Pz,31.4341,24.5541,38.253,22.5665,31.3736
P2PrT,21.3847390441615,18.1690896021152,32.0568881930784,22.2327459473254,23.8668279283381
P2Pwx,567.42,439.19,808.92,731.12,588.15
P2Pwy,743.24,859.85,926.61,886.78,914.53
P2Pwz,457.73,452.53,459.74,651.87,463.54
P2PwT,470.750224772777,499.751631823344,490.818594678674,508.898299635317,505.591967319596
MAXr,22.7607287545896,19.6703522797636,35.1488575347763,24.4041952835983,26.4280672952072
MINr,1.3759897104281,1.50126267764839,3.09196934169794,2.1714493362729,2.56123936686909
MAXw,470.981262022174,499.899652530385,490.94449346642,509.189176573894,505.739200772493
MINw,0.231037249397148,0.148020707041279,0.125898787746348,0.290876938577124,0.147233452897091
VARrT,0.153882978801601,0.104532579598788,0.1942596746508,0.191669661453687,0.187175330966788
VARwT,429.160847416841,332.71477400466,752.305968109691,707.81599179408,519.691880116279
