4.0595e+06,-9.8193,0.48193,-2.6506,-1.3282,-2.916,1.2672
4.0595e+06,-9.759,0.43373,-2.5542,-1.0992,-3.2214,0.19847
4.0596e+06,-9.8434,0.46988,-2.6145,-0.061069,-2.9618,-0.79389
4.0596e+06,-9.8193,0.38554,-2.5422,-0.10687,-5.2977,-1.2366
4.0597e+06,-9.8675,0.37349,-2.5301,2.3053,-4.855,-1.8321
4.0597e+06,-9.8193,0.39759,-2.5422,2.8092,-6.0305,-2.5191
4.0597e+06,-9.7952,0.36145,-2.4578,1.9084,-4.2137,-2.8855
4.0598e+06,-9.8193,0.45783,-2.4699,2.5802,-2.626,-2.9771
4.0598e+06,-9.7711,0.45783,-2.4217,1.2366,-3.3893,-3.7405
4.0599e+06,-9.8434,0.3494,-2.4096,-0.36641,-2.4885,-4.229
4.0599e+06,-9.8554,0.36145,-2.4217,-0.54962,-1.8168,-4.1221
4.0599e+06,-9.8193,0.36145,-2.4217,-0.90076,-2.7634,-4.5496
4.06e+06,-9.8675,0.36145,-2.4458,1.1298,-2.5496,-4.687
4.06e+06,-9.8554,0.44578,-2.4217,0.64122,-2.0305,-5.0382
4.0601e+06,-9.8554,0.36145,-2.4578,-1.9237,-1.6641,-4.9313
4.0601e+06,-9.8795,0.38554,-2.4458,-0.85496,-1.9542,-4.855
4.0601e+06,-9.8072,0.42169,-2.4699,-1.1908,-2.8855,-5.2214
4.0602e+06,-9.8434,0.31325,-2.4217,-3.6489,-2.0611,-5.374
4.0602e+06,-9.9518,0.12048,-2.4699,-4.2137,-0.74809,-5.5115
4.0603e+06,-10.06,0.072289,-2.4578,-1.5267,1.8015,-3.2977
4.0603e+06,-9.9036,0.096386,-2.494,-0.71756,3.4962,-2.3053
4.0603e+06,-9.5542,0.3012,-2.4699,1.9237,2.6412,-1.0687
4.0604e+06,-9.5783,0.44578,-2.5181,2.1527,1.9695,-1.6489
4.0604e+06,-10.024,0.14458,-2.4337,-0.19847,1.2977,-2.7023
4.0604e+06,-10.542,-0.59036,-2.6988,0,5.7405,-0.42748
4.0605e+06,-9.506,0.012048,-1.8916,6.7176,0,4.2443
4.0605e+06,-9.7349,0.10843,-2.4217,1.5573,15.069,3.6947
4.0606e+06,-9.8434,-0.62651,-2.0361,-8.8244,-1.8626,0.96183
4.0606e+06,-9.9036,-0.66265,-2.012,-5.7557,-0.50382,0.71756
4.0606e+06,-10.048,-0.62651,-2.241,-7.4198,4.2595,0.59542
4.0607e+06,-9.759,-0.66265,-2.1205,-10.321,4.2137,-2.916
4.0607e+06,-9.5663,-0.96386,-2.1687,-11.863,7.6336,-1.9542
4.0608e+06,-10.145,-0.85542,-2.5542,-11.099,26.885,-1.1908
4.0608e+06,-9.5542,-1.0241,-2.1807,-13.511,6.2443,-2.3664
4.0608e+06,-9.6506,-1.1325,-2.4337,-12.275,9.0687,-2.9466
4.0609e+06,-9.7711,-1.0723,-2.4578,-9.8473,5.771,-2.1374
4.0609e+06,-9.7952,-0.92771,-2.6386,-9.6641,4.4733,-1.8931
4.061e+06,-9.8434,-0.95181,-2.5542,-9.6489,4.7023,-2.1221
