20,-10,60
17,-11,59
13,-10,60
17,-12,56
12,-7,59
18,-7,62
25,-12,58
13,-13,56
15,-12,61
17,-11,60
10,-9,58
15,-10,60
18,-10,60
18,-10,60
17,-10,63
19,-13,58
18,-5,63
20,-8,62
20,-10,59
16,-13,57
18,-11,61
16,-11,59
16,-11,58
19,-11,60
19,-12,60
16,-12,58
15,-10,60
21,-11,60
18,-12,58
16,-11,59
14,-10,61
16,-9,62
17,-13,57
9,-15,53
10,-9,59
23,-14,60
13,-9,60
16,-12,58
7,-10,60
17,-13,57
27,-8,71
22,-12,60
19,-10,58
15,-13,59
16,-11,61
8,-10,59
17,-11,61
14,-10,60
16,-13,58
17,-12,59
17,-13,59
17,-12,59
16,-11,60
15,-10,60
17,-13,60
15,-11,59
16,-10,59
14,-10,61
13,-10,60
16,-12,59
16,-10,60
18,-11,60
15,-10,60
17,-11,59
16,-11,60
16,-11,60
16,-11,59
16,-11,60
16,-11,59
16,-10,60
17,-11,60
16,-11,59
18,-14,61
16,-10,61
16,-11,60
15,-10,59
14,-11,59
18,-11,61
17,-10,60
15,-11,59
16,-11,59
15,-10,60
17,-10,60
16,-11,60
15,-11,59
16,-10,60
15,-10,60
15,-11,60
14,-11,60
14,-10,61
23,-13,59
11,-12,50
22,-11,61
23,-12,57
17,-10,61
19,-12,58
21,-11,60
16,-16,54
31,-11,63
14,-11,58
8,-8,59
11,-12,58
15,-10,59
21,-9,64
22,-13,55
19,-14,58
13,-8,65
11,-10,62
23,-12,61
16,-14,53
20,-8,59
16,-6,58
13,-4,60
23,-5,65
19,-6,61
14,-11,60
13,-10,65
17,-21,48
14,-22,47
14,-11,61
24,-10,63
16,-12,57
15,-13,58
18,-11,61
9,-9,58
14,-11,59
20,-12,59
15,-11,59
16,-10,59
28,-14,59
13,-8,59
14,-9,60
23,-13,57
10,-8,58
17,-12,58
25,-9,59
20,-8,57
27,-11,58
28,-11,58
23,-9,57
23,-10,56
25,-11,58
23,-11,56
26,-11,58
21,-12,57
22,-10,55
27,-12,52
20,-10,59
13,-8,65
7,-1,66
13,-16,56
5,-12,42
26,-14,69
11,-11,61
1,-15,55
17,-12,54
23,-14,63
17,-9,61
15,-9,60
17,-10,61
21,-13,60
14,-12,58
12,-11,60
14,-10,61
20,-12,60
18,-13,58
13,-10,60
13,-10,59
19,-11,61
15,-10,60
14,-11,59
16,-10,60
15,-9,62
18,-15,60
15,-11,55
14,-8,67
3,-9,59
11,-9,62
23,-13,59
18,-12,54
4,-13,58
2,-9,59
13,-9,62
16,-11,58
