trialnames,apenx,apeny,apenz,sampenx,sampeny,sampenz
UP1,0.503483806376827,0.2773729424324,0.348129481905092,0.340597895170918,0.114256341853137,0.217019597986756
UP2,0.643121072854538,0.287557959881376,0.397062441355201,0.423460203021163,0.137757700754965,0.237059712821582
P1,0.374244843367171,0.242272317136929,0.0828179405737586,0.2292642461526,0.167757671435128,0.0520495268194481
P2,0.240194154230221,0.292147345261504,0.0849066552230091,0.145507017265406,0.161810811210328,0.0389107263332508
Rec,0.886364374974528,0.424804224607555,0.353909224210283,0.613898216878061,0.232683891366223,0.174264715216464
