trialnames,apenx,apeny,apenz,sampenx,sampeny,sampenz
UP1,0.322836570907519,0.142246913012855,0.283444591101371,0.183923277789799,0.0643298292643699,0.155528208685269
UP2,0.268248595576825,0.168171315530055,0.280115937700662,0.135503068038089,0.0716966348356176,0.141519004350555
P1,0.414580060184511,0.227486876192784,0.224219207412444,0.189365848990877,0.102895393308254,0.089747568980922
P2,0.321188386616737,0.221876116514391,0.227442316964893,0.124230007205705,0.0822003172223113,0.0917646978937061
Rec,0.631581698457936,0.241803697521916,0.610664792505586,0.368836760748757,0.114667371890735,0.280435610720025
