-2,-22,61
-1,-24,59
-1,-25,59
2,-27,62
3,-27,64
5,-29,64
5,-29,63
2,-30,63
-1,-31,61
-2,-30,61
-6,-31,59
-8,-30,59
-8,-31,56
-9,-31,54
-8,-32,51
-8,-33,50
-10,-35,46
-11,-33,47
-10,-35,48
-11,-35,48
-12,-35,48
-12,-34,51
-13,-34,51
-15,-35,50
-15,-35,50
-16,-36,47
-16,-36,47
-19,-34,44
-19,-32,46
-19,-31,46
-19,-32,47
-19,-31,49
-22,-32,47
-21,-32,49
-21,-32,50
-22,-32,49
-21,-32,50
-22,-32,51
-25,-31,53
-28,-32,53
-29,-32,53
-30,-34,52
-28,-36,52
-24,-37,49
-21,-38,47
-15,-40,45
-11,-41,43
-7,-43,40
-4,-43,41
-3,-45,40
3,-44,39
13,-43,42
10,-42,49
2,-41,50
-6,-44,46
-2,-44,45
1,-47,41
8,-48,43
5,-48,44
1,-48,44
-2,-47,45
-5,-46,44
-8,-46,43
-12,-44,44
-15,-44,46
-21,-44,45
-22,-43,43
-24,-42,43
-26,-42,44
-26,-41,42
-26,-40,42
-27,-38,43
-22,-36,44
-23,-35,44
-22,-35,47
-22,-35,47
-22,-36,46
-24,-36,46
-23,-36,46
-21,-36,48
-20,-37,48
-17,-36,47
-15,-35,49
-15,-36,49
-14,-36,49
-14,-37,49
-17,-38,49
-18,-38,48
-20,-37,47
-20,-37,49
-21,-35,50
-21,-34,50
-22,-33,50
-22,-33,50
-23,-33,50
-23,-33,49
-23,-33,49
-21,-32,50
-20,-31,50
-18,-30,51
-18,-30,51
-20,-32,50
-21,-31,50
-21,-30,50
-21,-29,49
-22,-28,51
-23,-27,51
-23,-26,52
-24,-25,53
-24,-24,52
-23,-24,53
-22,-25,52
-21,-25,52
-22,-25,52
-21,-24,54
-19,-25,54
-18,-24,56
-18,-23,58
-19,-23,57
-16,-22,60
-20,-25,56
-15,-22,61
-16,-21,62
-15,-22,60
-14,-21,59
-14,-21,59
-12,-22,59
-12,-22,59
-11,-21,60
-11,-21,61
-10,-22,60
-10,-23,60
-8,-22,60
-9,-23,61
-8,-23,60
-8,-23,60
-7,-24,59
-8,-24,60
-9,-25,57
-11,-25,59
-13,-25,59
-15,-26,57
-18,-26,56
-18,-24,58
-20,-23,58
-20,-21,57
-21,-18,57
-20,-17,57
-21,-15,60
-22,-14,59
-24,-13,57
-25,-13,57
-25,-11,56
-25,-11,55
-25,-9,58
-23,-9,56
-24,-8,56
-23,-8,57
-23,-9,57
-21,-4,61
-24,-7,60
-24,-8,60
-24,-9,58
-24,-10,59
-24,-10,58
-23,-9,59
-23,-9,59
-23,-9,60
-22,-9,60
-22,-9,59
-23,-10,59
-23,-11,58
-24,-10,57
-23,-10,57
-23,-10,58
-23,-10,58
-23,-10,58
-22,-9,58
-22,-9,58
-16,-2,71
-12,-1,73
-28,-6,81
-27,-20,100
-47,-37,106
-54,-47,83
-50,-47,64
-35,-44,45
-25,-31,45
-23,-18,20
-22,-11,18
-6,-9,8
-11,-9,-1
16,-5,48
-13,-25,43
-22,-28,36
