datatype,UP1,UP2,P1,P2,REC
RMSx,9.64059150218302,9.47918795657087,9.61014674057986,9.43033207289134,9.4041367095913
RMSy,0.638257661427111,0.641070831896591,0.733860060098184,0.596281364462974,0.648624550501399
RMSz,1.37019222336832,2.19077068033716,1.39059575353985,2.31293903441917,2.47113361964696
RMSrT,9.75837097487654,9.75015139889283,9.7379272698582,9.72812425123923,9.74499884178266
RMSwx,9.23083174440123,15.1458843988546,10.5612632989788,10.7049527078521,12.0363130362954
RMSwy,7.61900560917035,12.9314983464707,8.95204081725898,8.2717713489112,9.04308639025764
RMSwz,3.70749776341448,7.19671544896036,3.80836450314818,3.80399632583849,6.08076179184223
RMSwT,12.5300854279505,21.1757922392893,14.359072304751,14.0530637859867,16.2365608100511
P2Px,26.8546,23.1874,34.736,28.5239,26.8007
P2Py,15.9175,19.9438,32.516,20.0753,15.6583
P2Pz,23.437,34.928,28.003,34.101,20.855
P2PrT,20.8587588354308,26.856967480351,28.6869491246551,23.401609970259,18.3755052444162
P2Pwx,412.29,627.04,627.89,881.57,519.15
P2Pwy,660.03,725.13,899.05,1000.53,667.44
P2Pwz,158.336,214.7,346.23,193.723,265.75
P2PwT,390.864334340515,446.623760347275,503.867200991346,640.697191332697,459.356931171372
MAXr,23.6349954190814,29.4679616683951,31.9628375842947,26.2801583863188,22.9860456364291
MINr,2.77623658365061,2.61099418804409,3.27588845963961,2.87854841605973,4.6105403920129
MAXw,390.963277197488,446.686708528472,503.96847171723,640.765468326751,459.4347792751
MINw,0.0989428569731034,0.0629481811969178,0.101270725883643,0.0682769940536342,0.0778481037277081
VARrT,0.0599459828737096,0.189823143554238,0.0580098438948495,0.0470075883782547,0.0963981766424598
VARwT,125.285850786126,367.49163715635,159.681706865674,146.292079731885,211.406666805824
