0.71716,0.38473,0.38891,0.63547,0.4613
0.54483,0.75805,0.60658,0.55518,0.64878
0.58403,0.52016,0.60029,0.5563,0.54124
0.59794,0.63438,0.456,0.59046,0.7496
0.73411,0.52631,0.5854,0.59158,0.79324
0.58412,0.41823,0.54936,0.73214,0.59769
0.57172,0.66094,0.60009,0.47689,0.43769
0.66031,0.62155,0.49179,0.48386,0.6374
0.63651,0.53012,0.69505,0.57054,0.6257
0.70384,0.66008,0.67893,0.65412,0.82921
0.71416,0.53573,0.64665,0.63857,0.67773
0.52798,0.60416,0.51032,0.5782,0.6008
0.46959,0.44149,0.5358,0.57937,0.42471
0.45338,0.5276,0.51099,0.46878,0.51906
0.84133,0.70099,0.72225,0.72048,0.44924
0.59475,0.47651,0.62313,0.55103,0.62836
0.44384,0.6624,0.64399,0.60311,0.47877
0.42814,0.42002,0.55773,0.58398,0.64949
0.66637,0.42511,0.46578,0.38966,0.54784
