15.735,21.194,11.528,15.663,28.923
21.25,25.159,10.284,14.9,43.44
15.5,19.214,10.206,28.938,19.758
38.106,33.636,34.786,20.86,22.341
16.934,21.241,11.781,14.217,23.599
19.51,15.84,12.473,12.613,30.844
17.834,NaN,17.987,NaN,20.06
18.375,36.168,33.492,19.892,29.688
15.589,16.728,NaN,10.458,17.107
14.779,14.537,16.567,16.159,14.441
16.563,NaN,12.822,20.686,14.644
11.725,18.106,27.924,35.277,24.297
NaN,NaN,NaN,NaN,11.477
27.76,22.275,12.428,15.493,16.789
10.786,24.46,15.912,20.206,NaN
21.321,13.738,16.287,14.339,14.339
17.097,14.117,13.731,18.349,NaN
13.502,14.163,16.812,17.331,16.779
21.856,15.948,11.73,13.394,37.097
