0.079247,0.051949,0.053916,0.047679,0.035336
0.040622,0.059113,0.075091,0.06369,0.039957
0.054859,0.042325,0.067278,0.072463,0.071673
0.063649,0.048991,0.084216,0.064326,0.0385
0.041583,0.036459,0.057632,0.05577,0.037331
0.035728,0.043678,0.052652,0.056832,0.039176
0.048125,0.044663,0.061651,0.056798,0.054672
0.051837,0.057687,0.057954,0.068023,0.055877
0.034972,0.044836,0.05913,0.046901,0.022321
0.10535,0.059578,0.12899,0.089537,0.052035
0.05421,0.070445,0.072029,0.055726,0.025861
0.048701,0.061725,0.065716,0.10022,0.051171
0.054639,0.054424,0.065692,0.059066,0.050643
0.04191,0.043067,0.058237,0.059708,0.05996
0.073247,0.055795,0.075171,0.070481,0.095216
0.034616,0.045003,0.052976,0.034306,0.042106
0.045234,0.04725,0.057133,0.050315,0.032647
0.045999,0.047098,0.054086,0.045469,0.089718
0.048496,0.049323,0.05667,0.060009,0.031299
