48.96,55.63,50.33,42.46,34.23,36.98,67.77,57.38,48.06,60.42,77.31,45.04,57.69,43.58
63.03,33.37,69.44,42.19,35.22,46.58,46.98,47.06,44.37,45.44,55,66.65,27.74,29.79
39.38,69.84,34.88,35.03,34.83,33.37,55.86,62.34,60.44,57.67,50.65,51.38,45.27,44.82
47.8,23.86,27.76,27.44,40.35,30.48,46.97,46.47,29.96,69.91,73.43,30.76,25.91,17.16
65.62,104.11,55.31,44.12,63.89,46.34,73.22,72.92,79.78,58.73,61.32,63.24,53.66,62.37
25.07,44.32,31.58,43.72,33.88,33.88,65.97,47.45,36.91,48.95,45.07,34.33,25.97,21.2
38.91,43.8,44.04,45.28,41.7,34.1,106.1,63.54,77.33,66.97,46.28,50.9,37.66,41.62
82.57,84.19,42.2,34.89,38.52,45.6,78.95,59.86,54.95,40.43,59.07,52.78,34.13,35.47
69.03,35.39,52.45,51.15,47.59,54.02,122.1,128.42,158.23,151.28,83.09,89.72,73.02,51.05
64.85,44.76,45.32,39.81,36.37,38.32,71.94,81.56,93.06,51.95,72.05,54.47,50.56,37.08
58.37,51.85,51.08,43.53,122.89,38.61,75.32,91.93,67.31,60.71,67.4,70.24,50.91,40.4
55.47,58.52,52.96,97.83,39.24,53.83,96.76,101.16,51.56,85.81,61.62,73.2,54.11,30.91
57.06,45.73,46.72,45.61,38.44,60.75,58.39,73.49,42.24,77.49,72.65,56.2,36.89,38
46.36,59.97,54.67,46.51,30.4,29.59,44.97,37.72,88.59,33.51,28.81,45.16,22.18,34.7
60.25,45.83,53.53,63.39,53.66,83.47,118.91,97.44,68.1,90.17,76.28,81.74,37.88,48.42
36.85,37.42,51.38,36.05,40.1,37.82,76.86,71.75,54.99,43.72,72.52,51.5,37.9,38.16
37.41,25.84,47.96,32.45,46.43,31.74,75.1,38.29,67.39,27.12,70.54,56.57,32.54,23.76
45.22,34.82,50.11,35.27,44.82,42.06,70.44,56.62,50.62,44.91,68.69,62.55,45.72,46.06
34.27,22.69,31.79,40.66,23.15,25.53,33.64,47.43,47.86,36.52,31.55,30.53,28.53,30
44.75,31.71,40.49,40.09,34.18,31.22,63.33,86.06,60.26,66.24,63.22,74.05,48.3,31.71
