17.001,64.203,5.1541,14.25,59.955
32.539,49.734,6.3856,32.747,126.41
17.637,20.73,5.2239,67.689,28.14
95.188,90.021,69.642,39.393,27.629
10.914,44.171,4.8497,9.4544,25.503
7.2228,24.418,5.5304,5.5625,103.43
16.745,3.208,16.549,2.8816,18.542
25.32,80.465,85.21,97.275,71.592
16.279,14.858,6.2939,7.169,14.643
16.575,20.154,26.198,25.11,13.884
10.464,5.5551,7.0214,10.719,11.089
6.3781,20.873,59.039,68.427,47.164
2.62,2.2872,2.2909,3.2367,5.4882
65.816,49.833,5.601,14.799,6.4182
3.0041,4.9987,11.412,31.905,2.9454
52.024,18.457,22.701,14.153,23.277
20.652,12.191,10.296,14.78,5.6046
14.173,11.614,27.647,34.487,20.044
6.5353,12.649,10.384,11.351,87.533
