datatype,UP1,UP2,P1,P2,REC
RMSx,5.2511021455633,5.41481617905546,4.95378175872066,5.7434121508761,5.4890135872534
RMSy,2.51814631848273,2.74510566416812,3.29755787069562,3.83911255541676,2.66426689644777
RMSz,8.09561275276448,7.94296983670991,7.97879193159655,7.17405746419198,7.88552740825256
RMSrT,9.97266666780508,9.9973301029471,9.95364065612832,9.95955163888006,9.97041276792803
RMSwx,20.4259642121325,23.519536484144,21.8986147364287,17.7809599229248,21.329989192854
RMSwy,19.4216537403345,24.0012232402235,20.0736968343531,16.5987726894397,20.0228979218808
RMSwz,14.6942046506657,18.4988744288349,17.514784509657,12.2618238462954,15.0059407828228
RMSwT,31.7858505992904,38.3592970294011,34.4857986480199,27.2403031299934,32.8795246154033
P2Px,37.361,26.687,20.3734,21.9399,29.445
P2Py,33.433,40.398,32.181,35.109,36.687
P2Pz,30.3618,26.6268,24.855,25.133,29.2285
P2PrT,28.342979001346,26.2098000789561,15.7781782888365,17.6523007149165,22.9723927218326
P2Pwx,785.92,800.81,884.51,707.63,788.83
P2Pwy,899.41,867.28,669.67,557.54,972.68
P2Pwz,775.93,767.12,720.41,696.03,591.67
P2PwT,584.800727848113,716.424733727854,629.115452664778,477.514515150651,594.512550054937
MAXr,30.7933083594732,27.3949632710102,19.480876167411,22.7341361500718,25.0296247674631
MINr,2.45032935812719,1.18516319205416,3.70269787857449,5.08183543515529,2.05723204563049
MAXw,585.083067093896,716.535880539139,629.470886618277,477.75201946198,594.840351522995
MINw,0.282339245782445,0.111146811285794,0.355433953499099,0.237504311329289,0.327801468058031
VARrT,0.177075712860631,0.373220612151235,0.179143358593251,0.109930329822749,0.209446611680575
VARwT,723.264042287412,1068.70750221204,811.072550962102,480.032485231905,764.471485751109
