epochs,avgkeypermin,stdkeypermin,avgcleanedintervals,stdcleanedintervals,maxcleanedintervals,wpm,wpm_corrected,accuracy,totalwords
UP1,374.333333333333,227.158076384413,0.117184012310682,0.352961481440731,16.6990000000005,47.9959858204362,31.9558550831417,93.6214991096001,2313.2
UP2,348.371428571429,250.342128920813,0.119717837216935,0.385551273816156,20.8719999999958,46.4252107947182,28.0319452601943,92.520911923897,2256.4
P1,226.53125,153.668890879688,0.194047224523612,0.816645407314828,22.1300000000047,29.1185449266699,20.071302008838,94.0137931034483,1363.2
P2,267.03125,163.324234097541,0.163031151188663,0.52198864088923,12.9170000000013,35.1606862324667,26.851075659263,95.2492394102504,1628
REC,329.448275862069,232.511687295637,0.123898429319373,0.368613145463048,18.1330000000016,45.5566542430462,31.5002155117768,94.0031397174254,1796.4
