datatype,UP1,UP2,P1,P2,REC
RMSx,9.48924447841913,9.13700909150194,7.91818606705739,7.14188221862527,8.3736344905597
RMSy,2.6030109449714,2.26047419780987,4.3822997189505,3.99138554060702,2.63553862131369
RMSz,2.82418083355078,3.80575119925649,4.22554809329895,5.91617227064415,5.15057958828325
RMSrT,10.2370613034916,10.1527543517902,9.98786654436461,10.0964713882832,10.178029696418
RMSwx,20.4177436872264,19.3276019530134,19.834764880889,16.7622621802955,18.42563930447
RMSwy,19.6797852620681,21.2902471740604,20.193165165583,15.7406016433825,21.7050663143978
RMSwz,17.6153168669177,16.6530617093734,21.5872036950448,13.8599851754651,18.8452587049128
RMSwT,33.3837923783429,33.2288321534614,35.5976007710635,26.8484480475266,34.1431964400805
P2Px,35.216,44.362,36.253,37.457,36.337
P2Py,42.012,44.675,39.783,44.566,45.952
P2Pz,41.048,48.193,34.386,31.241,33.253
P2PrT,35.7450113752018,36.2906886343149,29.2703242706653,31.3280214150497,30.4919995997428
P2Pwx,1000.53,1000.53,734.76,801.42,971.21
P2Pwy,1000.53,1000.53,882.16,912.28,989.47
P2Pwz,1000.53,1000.53,616.44,805.34,808.18
P2PwT,866.336150772398,866.430159353149,512.941729817909,681.221762583655,839.448301098639
MAXr,37.1593890423403,38.2789827451044,30.822667589941,33.3014932998507,33.0305306951009
MINr,1.41437766713845,1.98829411078945,1.55234331927573,1.973471884801,2.5385310953581
MAXw,866.48728403826,866.48728403826,513.073947301946,681.345793631985,839.629587437222
MINw,0.151133265861623,0.0571246851107295,0.132217484036719,0.12403104833065,0.181286338583469
VARrT,0.30963752484219,0.347843110563743,0.33109483685224,0.261573304457585,0.366723323317532
VARwT,770.349899299728,806.836129883778,904.881420867589,505.599565634986,818.019514361329
