trialnames,apenx,apeny,apenz,sampenx,sampeny,sampenz
UP1,0.531544337479832,0.565699379803913,0.103760905774415,0.287677299700021,0.342329508763689,0.048402357776133
UP2,0.52420521779199,0.477602066317008,0.078797282535954,0.298090982491526,0.305851352899474,0.0391760435104354
P1,0.73923438836513,0.558772902959867,0.0947512655182448,0.451499905676483,0.342406359394076,0.0600724534840337
P2,0.466689934748638,0.323792739503852,0.0767714899122527,0.260668435318818,0.185104154681074,0.0380894670575479
Rec,0.555479510140968,0.556796336474719,0.125488047476581,0.332993704686857,0.374945111950851,0.0696740585992697
