-33,-9,54
-33,-9,54
-33,-9,54
-33,-9,54
-33,-8,54
-33,-8,54
-33,-8,54
-33,-8,54
-33,-8,55
-33,-8,54
-33,-8,54
-33,-8,54
-33,-8,54
-33,-8,54
-33,-8,54
-33,-8,54
-33,-8,55
-32,-8,55
-33,-8,54
-33,-8,55
-33,-8,54
-33,-8,54
-32,-8,55
-33,-7,55
-33,-7,54
-35,-6,54
-35,-6,54
-35,-5,53
-37,-4,53
-35,-5,53
-35,-5,53
-36,-5,53
-36,-4,53
-37,-4,53
-37,-4,52
-37,-4,52
-38,-4,52
-37,-4,52
-37,-4,52
-37,-4,52
-37,-4,53
-37,-4,52
-37,-4,52
-37,-4,52
-37,-4,52
-37,-4,53
-37,-4,53
-37,-4,52
-37,-5,52
-37,-5,52
-37,-4,53
-37,-4,52
-36,-5,52
-37,-5,52
-37,-5,52
-37,-5,52
-36,-5,53
-36,-5,53
-36,-5,53
-36,-5,52
-37,-5,52
-37,-4,52
-37,-4,53
-37,-4,53
-37,-3,52
-40,-2,51
-40,-2,51
-39,-4,51
-39,-3,51
-39,-3,51
-40,-3,51
-39,-3,51
-38,-4,52
-39,-3,51
-39,-3,51
-39,-1,52
-40,-1,52
-35,0,55
-35,-3,54
-37,-4,54
-40,-6,51
-40,-8,51
-36,-9,52
-35,-10,54
-39,-8,56
-40,-8,60
-45,-12,63
-51,-9,53
-59,-5,47
-40,7,64
-30,11,73
-23,17,85
-25,26,79
-7,37,43
-11,37,24
-60,53,-10
-75,44,-2
-65,38,10
-57,35,12
-52,32,10
-50,20,3
-56,18,-4
-49,14,2
-50,17,12
-52,15,25
-46,12,22
-39,-10,24
-70,-18,36
-57,-17,39
-43,-22,35
-48,-23,39
-46,-23,38
-40,-20,42
-56,-13,39
-59,-10,34
-46,-10,41
-55,-30,40
-60,-32,37
-72,-37,38
-59,-35,47
-49,-34,47
-47,-25,43
-53,-23,32
-53,-18,26
-61,-13,20
-65,-12,17
-56,-14,10
-62,-8,20
-53,-13,30
-52,-10,32
-62,-3,27
-60,2,25
-58,-1,26
-58,7,30
-51,4,37
-51,7,36
-59,3,41
-49,1,44
-54,13,30
-61,13,30
-54,12,35
-54,16,31
-55,15,30
-54,15,31
-54,14,35
-56,14,35
-55,10,39
-59,9,29
-58,9,27
-55,8,26
-53,10,26
-59,11,23
-50,13,30
-51,10,29
-60,11,19
-56,14,29
-50,23,34
-58,24,32
-61,29,25
-53,28,26
-46,37,24
-52,36,20
-47,42,19
-47,45,18
-51,42,14
-51,40,16
-50,39,15
-52,38,12
-48,37,13
-51,34,16
-54,34,16
-56,32,17
-56,31,16
-55,30,17
-58,31,15
-61,32,13
-62,34,15
-60,34,15
-53,33,18
-51,31,15
-55,29,14
-56,32,15
-57,28,16
-57,29,15
-49,29,20
-50,27,23
-55,27,23
-55,28,18
-60,29,20
-55,29,20
-59,27,16
-59,25,14
-58,24,12
-57,27,8
-61,26,13
-63,26,7
-63,30,10
-58,30,13
-55,29,13
-53,29,11
-67,23,11
-60,26,10
-58,27,8
-53,27,11
-60,27,12
-55,34,10
-59,35,6
-60,35,2
-58,36,4
-56,39,-1
-59,38,-6
-52,41,-6
-56,40,-8
-51,40,-11
-49,41,-9
-48,41,-5
-48,43,-4
-47,43,-5
-49,45,0
-48,44,1
-39,46,15
-36,43,22
-34,48,26
-35,48,24
-36,44,19
-60,26,14
-61,27,22
-43,22,36
-37,21,41
-36,18,38
-36,17,38
-26,26,44
-30,30,41
-32,32,37
-46,38,33
-46,42,35
-56,46,43
-64,45,42
-42,46,54
-38,45,44
-30,37,6
-37,31,0
-52,36,-18
-58,35,-28
-68,31,-33
-70,25,-23
-72,19,-14
-60,12,-10
-58,13,-11
-62,6,2
-76,3,-16
-60,15,-23
-65,14,-19
-65,22,-24
-64,22,-23
-59,21,-18
-60,19,-20
-60,21,-18
-62,23,-15
-62,22,-13
-59,18,-10
-58,16,-5
-60,17,-7
-60,15,-5
-62,16,-4
-62,12,-7
-63,15,-7
-64,13,-10
-62,13,-8
-63,14,-7
-65,16,-6
-66,15,-3
-68,13,0
-72,11,1
-62,14,10
-57,17,21
-60,16,31
-70,14,33
-53,16,41
-50,18,35
-54,17,28
-51,18,30
-37,22,32
-55,36,36
-49,35,41
-45,35,45
-46,35,45
-37,34,43
-30,32,39
-27,31,36
-30,28,41
-29,21,49
-28,18,50
-33,17,54
-29,17,57
-27,16,55
-29,20,56
-27,21,57
-26,23,52
-26,23,51
-23,24,50
-24,23,48
-22,23,50
-21,19,55
-24,19,69
-25,23,59
-26,21,52
-32,20,59
-31,22,59
-29,22,54
-24,23,51
-24,22,46
-29,25,43
-30,27,41
-33,31,39
-32,33,40
-31,32,40
-35,31,40
-36,32,43
-34,31,42
-38,28,40
-42,25,43
-42,25,38
-46,21,32
-50,21,35
-53,18,42
-56,18,42
-57,18,36
-56,19,36
-55,20,34
-57,19,30
-56,19,21
-62,16,3
-65,15,-7
-69,14,-16
-70,13,-19
-67,11,-20
-66,11,-19
-66,10,-16
-63,11,-14
-59,13,-13
-63,15,-13
-63,16,-14
-63,15,-14
-63,15,-12
-57,16,-8
-61,17,-9
-67,19,-9
-63,21,-11
-57,20,-7
-60,19,-7
-63,18,-10
-60,18,-10
-58,18,-9
-61,18,-14
-60,18,-15
-60,19,-18
-59,19,-20
-58,19,-23
-57,19,-23
-56,20,-22
-57,20,-25
-57,20,-26
-56,22,-24
-55,23,-24
-55,23,-22
-57,24,-22
-58,24,-29
-58,24,-33
-58,13,-29
-29,9,-11
-35,18,-36
-56,20,-24
-57,11,-18
-50,16,-17
-65,18,-21
-65,22,-20
-65,25,-21
-71,28,-17
-72,28,-17
-67,23,-8
-60,27,-2
-59,34,-1
-47,32,10
-48,34,11
-65,30,-2
-62,28,-5
-59,24,-7
-57,28,-16
-60,23,-14
-53,27,-23
-48,21,-17
-55,17,-24
-60,19,-21
-64,16,-15
-63,16,-17
-57,16,-11
-63,13,-11
-63,16,-17
-60,21,-10
-68,12,-24
-50,10,-17
-60,7,-24
-59,6,-23
-61,1,-27
-57,-3,-31
-56,-6,-31
-52,-8,-30
-51,0,-25
-56,3,-24
-56,3,-22
-55,7,-20
-56,15,-22
-59,13,-23
-58,17,-21
-59,18,-22
-65,14,-22
-64,14,-20
-63,13,-21
-62,12,-19
-62,9,-18
-59,9,-19
-61,11,-21
-58,12,-18
-56,11,-18
-54,13,-20
-56,14,-24
-60,13,-27
-61,12,-26
-57,10,-26
-53,6,-24
-53,5,-24
-54,0,-28
-57,-2,-31
-51,0,-28
-48,-1,-27
-47,-3,-29
-49,-4,-30
-34,-10,-18
-113,23,-121
-72,-14,-120
-34,-12,-53
-33,-19,-50
-21,-9,-43
-22,-1,-35
-36,-5,-67
-34,-9,-61
-24,-15,-54
-24,-15,-50
-25,-18,-64
-32,-18,-61
-33,-12,-58
-31,-13,-55
-30,-13,-60
-20,-5,-62
-15,-1,-60
-12,-1,-62
-11,-1,-62
-28,-10,-72
-50,-23,-73
-56,-31,-77
-49,-10,-63
-64,-21,-71
-76,0,-61
-83,11,-54
-91,16,-21
-83,26,-10
-81,28,-22
-53,35,-22
-40,41,-28
-31,51,-38
-37,53,-35
-29,37,-25
-14,35,-22
5,29,-11
13,27,0
17,21,17
20,22,24
17,22,29
19,28,48
25,38,56
3,43,45
13,47,49
17,49,39
23,48,44
17,44,41
19,43,40
4,40,32
16,40,39
11,43,35
8,40,43
11,43,44
24,47,45
19,46,43
19,46,37
19,44,37
23,44,39
22,45,41
21,49,39
28,52,44
20,49,49
26,54,42
20,56,35
29,61,34
33,65,32
42,63,32
38,58,31
44,53,17
40,40,18
32,35,13
39,23,15
38,19,16
53,5,41
37,-4,40
46,18,17
53,22,16
49,13,30
55,14,22
54,12,22
56,11,20
56,12,17
63,13,19
64,14,19
60,17,18
58,18,17
61,16,18
63,15,20
58,13,21
63,9,24
68,11,19
67,12,7
70,19,12
66,27,9
63,33,7
54,34,20
53,29,21
48,31,14
35,22,23
34,21,27
34,12,51
25,16,45
51,22,31
53,26,26
51,20,30
57,16,36
54,20,28
52,16,29
50,15,30
48,11,31
56,13,35
50,12,27
60,11,26
60,13,26
61,12,31
56,16,30
53,18,28
45,23,23
39,28,18
42,31,18
41,38,17
40,42,16
32,47,19
29,47,22
27,50,17
28,52,14
24,47,10
15,46,13
12,41,17
2,36,24
-8,37,31
1,35,53
9,30,46
-32,14,67
-26,9,87
-3,0,98
-6,5,101
-2,9,96
-13,21,74
-12,27,75
-14,36,67
-17,47,65
-27,53,65
-31,64,49
-30,61,29
-36,56,21
-39,45,-8
-49,36,-46
-51,28,-43
-54,20,-19
-48,18,-3
-43,22,-2
-51,20,-3
-49,31,-7
-51,32,-5
-43,39,-1
-49,41,1
-46,45,1
-44,43,-4
-44,43,-10
-32,48,-10
-30,48,-7
-27,53,-23
-33,56,-22
-36,49,-14
-33,49,-13
-40,46,-12
-54,41,-20
-52,42,-21
-49,35,-13
-53,33,-17
-50,32,-35
-49,28,-34
-55,24,-32
-55,24,-33
-93,30,-49
-69,31,-46
-54,28,-43
-53,27,-30
-50,25,-22
-49,26,-5
-57,31,1
-59,29,17
-46,33,28
-39,35,29
-47,33,25
-42,33,29
-31,35,38
-35,34,43
-23,33,47
-35,33,39
-45,37,26
-41,35,18
-53,33,16
-63,34,17
-55,34,14
-65,32,-3
-62,30,-5
-65,32,-17
-58,29,-11
-55,26,-1
-55,22,0
-63,23,0
-60,23,3
-63,29,2
-66,35,-8
-65,37,-14
-58,45,-16
-56,46,-17
-61,48,-15
-59,48,-15
-47,48,-4
-42,48,-2
-42,48,3
-31,44,11
-28,47,8
-26,50,13
-24,50,15
-26,53,13
-25,55,16
-25,56,16
-21,56,16
-18,58,19
-17,58,20
-15,57,22
-18,56,21
-14,55,23
-16,53,22
-14,54,23
-16,56,22
-18,57,20
-17,57,22
-16,60,23
-15,60,25
-13,61,24
-11,60,26
-12,59,26
-12,58,25
-8,57,25
-9,58,24
-9,57,26
-8,58,26
-4,59,26
-4,57,30
-7,57,31
-4,58,30
-4,59,27
-7,56,26
0,55,30
-5,57,28
-3,59,27
-3,58,29
1,58,32
2,61,29
1,60,27
1,59,26
2,57,30
-2,57,29
3,55,30
3,56,30
7,58,27
7,57,29
4,54,31
4,55,30
1,57,27
6,57,28
7,56,27
5,54,31
3,54,32
-4,60,29
1,61,30
-2,59,27
-1,58,29
0,58,29
2,57,26
3,59,26
2,58,27
3,57,28
3,58,27
1,58,27
1,58,26
1,59,27
0,58,26
0,57,27
2,56,26
4,58,27
3,59,27
5,59,27
7,59,28
1,59,26
-1,63,22
-2,62,26
3,62,32
6,63,30
5,62,31
3,59,32
4,56,29
5,56,25
7,52,30
3,53,31
4,55,29
5,59,28
9,60,30
7,60,28
6,62,28
6,57,33
6,56,31
5,55,30
4,56,31
8,54,35
9,55,35
10,53,33
15,51,27
15,49,28
19,46,27
21,47,27
25,45,30
25,46,27
23,48,24
20,49,22
18,50,19
16,51,18
14,49,18
12,51,18
12,53,17
1,48,17
-7,49,21
-16,46,30
-23,42,29
-35,39,26
-34,43,37
-29,40,45
-45,29,46
-50,23,51
-74,11,51
-69,11,50
-43,5,59
-35,3,60
-39,-5,55
-40,-5,56
-32,-5,59
-39,-7,60
-48,-7,60
-46,-3,60
-43,-2,59
-37,1,53
-38,2,48
-44,2,43
-50,2,42
-57,0,44
-51,-1,45
-39,-3,47
-40,-6,47
-41,-7,49
-42,-7,51
-42,-8,52
-37,-7,54
-35,-8,55
-39,-9,51
-39,-9,50
-38,-9,51
