datatype,UP1,UP2,P1,P2,REC
RMSx,8.04606747524535,7.9087207153178,6.96141696426556,7.73199450534825,8.1577929589748
RMSy,3.91563146315891,3.66191736657278,4.99070742446862,3.80844589052503,3.5845849180786
RMSz,3.21306248898371,3.81692636911506,4.39372991376251,4.07023474007311,3.38254514502397
RMSrT,9.50763599059173,9.51453777436141,9.62669981364861,9.53177895101909,9.53102547759372
RMSwx,21.03197151053,17.5074080769359,29.8740119519205,20.4558244247944,21.9461405322
RMSwy,19.8669561305094,16.9089805504163,29.8934675391853,21.5986583266225,25.1299960616161
RMSwz,20.8390946782619,14.5792357704492,28.1051784188064,19.4407816236368,22.540351963653
RMSwT,35.6554012531186,28.3721179413357,50.7540840285071,35.537118405213,40.2643422020187
P2Px,37.036,32.4575,46.421,38.469,37.856
P2Py,44.132,48.205,48.314,42.735,44.301
P2Pz,38.867,32.662,36.386,43.927,39.338
P2PrT,30.8660614587217,37.2852965399239,32.2903867035957,31.1009942216348,32.2408575866654
P2Pwx,812.63,812.67,968.41,641.3,655.44
P2Pwy,1000.53,1000.53,1000.53,1000.53,1000.53
P2Pwz,867.16,694.84,695.05,879.76,920.99
P2PwT,837.65036538398,734.86606922488,665.753891212225,763.272404146114,739.36152784761
MAXr,32.7298875494555,40.4702140098122,33.8446749650517,33.2843667357515,33.9475438139492
MINr,1.86382609073379,3.18491746988835,1.55428826145603,2.18337251411664,1.70668622728374
MAXw,837.986247202184,735.130058425038,666.09664057009,763.475523707211,739.651197119291
MINw,0.335881818203963,0.263989200157885,0.34274935786519,0.203119561096414,0.289669271680653
VARrT,0.274755286948282,0.235598747162502,0.553120091454239,0.301374920642252,0.418020297265899
VARwT,821.746924360329,508.388355794062,1460.7214386708,819.747909458507,1125.54920502529
