trialnames,apenx,apeny,apenz,sampenx,sampeny,sampenz
UP1,0.378804185695834,0.199475918685114,0.239035829588588,0.190013348896548,0.058496649563971,0.141332904328449
UP2,0.290416249236966,0.186543665930017,0.220580099672041,0.115993044485334,0.0405123954270031,0.13080859814684
P1,0.283360371112954,0.254771310980372,0.278569827278066,0.152669244245407,0.169378784034651,0.178280843042861
P2,0.363092136020747,0.236817020143516,0.277212180910405,0.204568776920997,0.147535414171626,0.17377355373783
Rec,0.276718261644295,0.146726480925245,0.20553754107517,0.141591097943074,0.0427735927347511,0.109278568219516
