1920.8,0.87504
1921.7,0.87504
1922.6,0.89067
1923.4,0.81254
1936.6,0.84379
1942.1,0.93754
1943,0.93754
1943.9,0.93754
1944.8,0.90629
1945.8,0.93754
1946.7,0.96879
1947.7,0.95317
1948.6,0.92192
1949.6,0.93754
1950.5,0.92192
1951.4,0.93754
1952.4,0.95317
1991.4,0.75003
1992.2,0.81254
1993,0.81254
1993.8,0.82816
1994.7,0.82816
1995.5,0.85941
1996.4,0.85941
1997.2,0.82816
1998,0.81254
2011.5,0.65628
2012.2,0.67191
2029,0.87504
2029.9,0.87504
2030.7,0.85941
2031.5,0.81254
2032.3,0.79691
2033.1,0.75003
2033.9,0.81254
2034.7,0.84379
2035.6,0.82816
2036.5,0.93754
2037.5,1
2038.5,0.98442
2039.5,0.95317
2040.4,0.92192
2041.3,0.93754
2042.3,0.95317
2043.2,0.95317
2044.1,0.89067
2045,0.90629
2046,0.95317
2046.9,0.95317
2047.8,0.89067
2048.7,0.87504
2049.6,0.89067
2050.5,0.89067
2051.4,0.89067
2052.2,0.82816
2053,0.85941
2053.9,0.85941
2054.8,0.90629
2055.7,0.92192
2056.6,0.87504
2057.5,0.90629
2058.4,0.92192
2059.3,0.90629
2060.2,0.87504
2093.5,0.70316
2094.2,0.70316
2094.9,0.71878
2095.6,0.68753
2096.3,0.68753
2097,0.68753
2097.7,0.71878
2098.5,0.75003
2099.2,0.78129
2100,0.81254
2100.9,0.85941
2101.8,0.93754
2102.8,0.96879
2103.8,1.0157
2104.8,0.95317
2105.7,0.93754
2106.7,0.96879
2107.7,0.98442
2108.7,0.98442
2109.6,0.95317
2110.5,0.92192
2111.5,0.96879
2112.5,0.96879
2113.4,0.95317
2114.3,0.90629
2115.3,0.92192
2116.2,0.90629
2117.1,0.92192
2118,0.89067
2118.9,0.92192
2119.8,0.93754
2120.8,0.93754
2121.7,0.89067
2122.6,0.93754
2123.6,0.98442
2130.6,0.89067
2131.6,0.93754
2132.5,0.92192
2133.4,0.90629
2134.3,0.92192
2135.3,0.92192
2136.2,0.90629
2137,0.87504
2138,0.92192
2138.9,0.92192
2139.8,0.92192
2140.7,0.90629
2141.6,0.90629
2142.5,0.92192
2143.5,0.95317
2144.4,0.92192
2145.3,0.89067
2146.2,0.87504
2147.1,0.89067
2148,0.92192
2148.9,0.92192
2156.3,0.95317
2157.2,0.95317
2158.1,0.90629
2159.1,0.92192
2160,0.93754
2161,0.95317
2161.9,0.95317
