trialnames,apenx,apeny,apenz,sampenx,sampeny,sampenz
UP1,0.746803921057591,0.306461715015327,0.854092434558447,0.407053534295135,0.119066050002145,0.611262174053621
UP2,0.692594355409326,0.244975002107836,0.683068081132677,0.31951448653784,0.0609481176417361,0.453460950893052
P1,0.834236499139261,0.475600261602224,0.583475566125417,0.455628863766713,0.241477111797239,0.352018492549326
P2,0.700460699211144,0.444721634957197,0.61226041258516,0.415799425149478,0.278975587990632,0.412988065585466
Rec,0.847139644546189,0.302289804463451,0.902156078155458,0.429565340504085,0.148004609221682,0.620815043322379
